CRED HRS,LOAD,"Part
Time","
Dept","
Subj","
Numb","
CRN","
Course Title","Begin
Time","End 
Time","
Days","
Bldg","
Room","
Schd","
Instructor",CRED HRS,LOAD,"
Cap","Avail
Seats","Low 
Enrl","
Closed"
201420,HM,1,ART,HUM,250E,35204,P.A. Enameling,1030,1120,T,MMVA,4,A,Kathryn Herrmann,1,1,15,4,,
201420,HM,1,ART,HUM,250E,35519,P.A. Enameling,930,1020,T,MMVA,4,A,Kathryn Herrmann,1,1,15,0,,YES
201420,HM,1,ART,HUM,250E,35973,P.A. Enameling,1300,1350,T,MMVA,4,A,Kathryn Herrmann,1,1,15,6,,
201420,HM,H1,ART,ART,154,34555,Digital Tools: Illustrator,1000,1050,TR,MMVA,207,G,Art Adjunct,1,1,18,-1,,YES
201420,HM,H1,ART,ART,157,34884,Digital Tools: InDesign,1230,1320,TR,MMVA,207,G,Art Adjunct,1,1,18,-1,,YES
201420,HM,H1,ART,ART,157,35845,Digital Tools: InDesign,1100,1150,MW,RUPP,229,G,Art Adjunct,1,1,19,7,,
201420,HM,H2,ART,ART,156,34556,Digital Tools: Photoshop,1230,1320,TR,MMVA,207,G,Art Adjunct,1,1,18,1,,
201420,HM,H2,ART,ART,156,35875,Digital Tools: Photoshop,1030,1120,TR,MMVA,207,G,Art Adjunct,1,1,18,2,,
201420,HM,H2,ART,ART,156,35876,Digital Tools: Photoshop,1130,1220,TR,MMVA,207,G,Art Adjunct,1,1,18,0,,YES
201420,HM,H2,ART,ART,157,35725,Digital Tools: InDesign,1100,1150,MW,RUPP,229,G,Art Adjunct,1,1,19,9,,
201490,HM,1,ART,ART,101,10001,Drawing I,1600,1750,MW,MMVA,210,G,Suzanne Dittenber,3,3,20,1,,
201490,HM,1,ART,ART,151,10002,Two-Dimensional Design,1400,1550,TR,MMVA,206,G,Susan Nace,3,3,20,1,,
201490,HM,1,ART,ART,251,10003,Typography,800,950,TR,MMVA,206,G,Jonathan Bouw,3,3,20,4,,
201490,HM,1,ART,ART,253,12974,Foundations of Photography,1300,1450,MW,MMVA,207,A,James Miles,3,3,21,4,,
201490,HM,1,ART,ART,271,11594,Three Dimensional Design,1100,1250,MW,MMVA,106,G,Joshua Welker,3,3,16,7,,
201490,HM,1,ART,ART,272,14750,Sculpture 1,1230,1420,TR,MMVA,106,G,Joshua Welker,3,3,16,13,YES,
201490,HM,1,ART,ART,300,10006,Art for Teachers,1100,1150,MW,MMVA,8,G,Kathryn Herrmann,2,2,20,14,,
201490,HM,1,ART,ART,300,16018,Art for Teachers,900,950,MW,MMVA,8,G,Kathryn Herrmann,2,2,20,13,,
201490,HM,1,ART,ART,301,16580,IS Advanced Drawing,,,,,,I,Suzanne Dittenber,3,3,1,0,YES,YES
201490,HM,1,ART,ART,309,16358,Secondary Art Methods,1400,1450,MW,MMVA,8,A,Kathryn Herrmann,2,2,20,10,,
201490,HM,1,ART,ART,311,15426,Western Art History 1-SP,1530,1700,TR,RUPP,203,A,Rachel Smith,3,3,30,8,,
201490,HM,1,ART,ART,317,16359,History of Photography,1230,1350,TR,MMVA,8,A,James Miles,3,3,16,11,YES,
201490,HM,1,ART,ART,320,16360,Acrylic Painting,1230,1420,TR,MMVA,204,G,Jonathan Bouw,3,3,20,14,,
201490,HM,1,ART,ART,337,16361,Introduction to Screenprinting,800,950,TR,MMVA,202,G,Joshua Welker,3,3,15,7,,
201490,HM,1,ART,ART,343,16362,Intoduction to Lithography,1800,2130,M,MMVA,202,G,Suzanne Dittenber,3,3,15,11,YES,
